28.01.2013  15:37:34   þ LBA Warning: 241883565
28.01.2013  15:37:36   þ LBA warning: 241884330
28.01.2013  15:37:36   þ LBA Warning: 241886115
28.01.2013  15:37:37   þ LBA Warning: 241886370
28.01.2013  15:37:37   þ LBA Warning: 241886880
28.01.2013  15:37:41   þ LBA Error: 241887162
28.01.2013  15:37:43   þ LBA warning: 241887900
28.01.2013  15:37:43   þ LBA Warning: 241888920
28.01.2013  15:37:44   þ LBA Warning: 241891725
28.01.2013  15:37:48   þ LBA Error: 241892879
28.01.2013  15:37:49   þ LBA warning: 241893765
28.01.2013  15:37:49   þ LBA Warning: 241894530
28.01.2013  15:37:49   þ LBA Warning: 241894785
28.01.2013  15:37:51   þ LBA warning: 241895550
28.01.2013  15:37:54   þ LBA warning: 241896570
28.01.2013  15:37:56   þ LBA warning: 241897590
28.01.2013  15:38:00   þ LBA warning: 242003160
28.01.2013  15:38:01   þ LBA Warning: 242004945
28.01.2013  15:38:03   þ LBA warning: 242006730
28.01.2013  15:38:03   þ LBA Warning: 242008770
28.01.2013  15:38:04   þ LBA warning: 242011575
28.01.2013  15:38:05   þ LBA warning: 242012340
28.01.2013  15:38:06   þ LBA warning: 242013360
28.01.2013  15:38:06   þ LBA Warning: 242013615
28.01.2013  15:38:07   þ LBA warning: 242014380
28.01.2013  15:38:07   þ LBA Warning: 242015400
28.01.2013  15:38:07   þ LBA Warning: 242018205
28.01.2013  15:38:08   þ LBA warning: 242018970
28.01.2013  15:38:09   þ LBA warning: 242022030
28.01.2013  15:38:09   þ LBA Warning: 242022795
28.01.2013  15:38:10   þ LBA Warning: 242023050
28.01.2013  15:38:11   þ LBA warning: 242023815
28.01.2013  15:38:11   þ LBA Warning: 242024070
28.01.2013  15:38:11   þ LBA Warning: 242025600
28.01.2013  15:38:12   þ LBA warning: 242030445
28.01.2013  15:38:13   þ LBA Warning: 242032230
28.01.2013  15:38:13   þ LBA Warning: 242034015
28.01.2013  15:38:14   þ LBA Warning: 242034270
28.01.2013  15:38:15   þ LBA warning: 242035035
28.01.2013  15:38:16   þ LBA Warning: 242036055
28.01.2013  15:38:16   þ LBA Warning: 242037840
28.01.2013  15:38:17   þ LBA Warning: 242041665
28.01.2013  15:38:17   þ LBA Warning: 242042430
28.01.2013  15:38:18   þ LBA warning: 242042685
28.01.2013  15:38:19   þ LBA warning: 242043450
28.01.2013  15:38:20   þ LBA Warning: 242043705
28.01.2013  15:38:20   þ LBA Warning: 242044470
28.01.2013  15:38:20   þ LBA Warning: 242048295
28.01.2013  15:38:20   þ LBA Warning: 242050080
28.01.2013  15:38:21   þ LBA Warning: 242050845
28.01.2013  15:38:23   þ LBA warning: 242051100
28.01.2013  15:38:27   þ LBA warning: 242055690
28.01.2013  15:38:28   þ LBA Warning: 242056710
28.01.2013  15:38:28   þ LBA Warning: 242057475
28.01.2013  15:38:32   þ LBA Error: 242057754
28.01.2013  15:38:33   þ LBA Warning: 242059515
28.01.2013  15:38:33   þ LBA warning: 242060535
28.01.2013  15:38:34   þ LBA Warning: 242061300
28.01.2013  15:38:34   þ LBA Warning: 242061555
28.01.2013  15:38:34   þ LBA Warning: 242062320
28.01.2013  15:38:35   þ LBA warning: 242063085
28.01.2013  15:38:36   þ LBA warning: 242063340
28.01.2013  15:38:37   þ LBA Warning: 242065125
28.01.2013  15:38:37   þ LBA Warning: 242067930
28.01.2013  15:38:39   þ LBA warning: 242068950
28.01.2013  15:38:39   þ LBA Warning: 242069715
28.01.2013  15:38:40   þ LBA Warning: 242069970
28.01.2013  15:38:40   þ LBA Warning: 242070735
